Дата,Сумма
2024-01-08,47751.05
2024-01-03,1572.61
2024-01-22,24066.44
2024-01-02,23511.47
2024-01-19,82560.32
2024-01-17,93660.01
2024-01-31,38018.19
2024-01-24,83893.64
2024-01-16,68785.44
2024-01-19,27535.47
2024-01-13,59881.6
2024-01-18,9493.28
2024-01-21,98474.86
2024-01-03,26064.84
2024-01-13,34508.28
2024-01-03,25472.09
2024-01-26,21797.02
2024-01-05,44081.26
2024-01-10,2070.4
2024-01-08,94842.79
2024-01-06,43733.74
2024-01-27,36704.92
2024-01-18,86090.39
2024-01-28,91100.81
2024-01-30,59339.85
2024-01-25,77250.5
2024-01-18,65221.37
2024-01-11,47821.2
2024-01-03,57244.2
2024-01-04,4297.49
2024-01-26,66319.31
2024-01-16,21241.03
2024-01-01,10100.05
2024-01-28,30196.19
2024-01-28,57676.74
2024-01-25,34779.18
2024-01-22,61331.45
2024-01-04,98602.43
2024-01-20,58861.42
2024-01-03,5356.85
2024-01-19,60154.36
2024-01-01,20658.34
2024-01-18,55976.2
2024-01-25,60585.29
2024-01-11,37999.64
2024-01-19,71478.83
2024-01-11,1718.6
2024-01-29,96909.94
2024-01-31,41041.21
2024-01-15,18706.05
2024-01-27,22083.52
2024-01-07,24675.48
2024-01-07,24802.93
2024-01-25,48886.08
2024-01-21,77210.48
2024-01-02,20764.54
2024-01-18,5232.25
2024-01-10,55011.93
2024-01-28,76558.28
2024-01-15,61460.55
2024-01-14,93112.05
2024-01-29,26429.4
2024-01-28,83384.76
2024-01-15,66985.61
2024-01-10,84630.87
2024-01-14,20067.96
2024-01-18,22264.19
2024-01-27,42307.32
2024-01-05,34414.12
2024-01-02,47394.62
2024-01-30,65579.51
2024-01-22,39385.89
2024-01-29,1085.9
2024-01-17,73818.73
2024-01-24,69345.61
2024-01-08,6186.17
2024-01-14,86166.01
2024-01-10,65334.71
2024-01-27,46788.6
2024-01-17,61280.86
2024-01-28,95198.41
2024-01-13,19006.01
2024-01-10,42416.98
2024-01-05,46571.45
2024-01-04,29475.15
2024-01-04,77704.43
2024-01-18,86647.07
2024-01-08,15425.52
2024-01-27,81581.22
2024-01-29,64243.36
2024-01-30,19844.99
2024-01-13,69739.7
2024-01-28,26381.33
2024-01-05,12864.09
2024-01-27,87403.71
2024-01-28,5421.21
2024-01-11,29565.06
2024-01-28,88838.48
2024-01-11,33740.61
2024-01-12,7757.11
2024-01-23,24360.34
2024-01-21,16553.23
2024-01-12,64468.54
2024-01-02,94746.12
2024-01-19,35380.76
2024-01-26,81918.74
2024-01-13,75465.29
2024-01-26,33086.4
2024-01-17,3866.5
2024-01-28,33849.74
2024-01-23,52017.03
2024-01-30,71103.65
2024-01-14,52885.04
2024-01-10,8604.4
2024-01-11,65156.63
2024-01-04,21028.68
2024-01-12,66283.59
2024-01-06,9067.2
2024-01-12,67226.74
2024-01-31,29140.6
2024-01-14,50100.82
2024-01-05,62581.38
2024-01-11,69239.11
2024-01-20,70191.17
2024-01-25,6494.84
2024-01-01,20187.38
2024-01-09,78668.23
2024-01-23,90577.1
2024-01-16,16529.44
2024-01-27,80194.73
2024-01-10,65867.23
2024-01-14,92995.57
2024-01-29,46147.6
2024-01-28,59999.03
2024-01-10,63762.44
2024-01-01,87706.24
2024-01-09,68959.25
2024-01-14,5327.95
2024-01-04,18048.37
2024-01-01,77725.66
2024-01-25,84399.47
2024-01-27,8787.94
2024-01-17,57630.35
2024-01-07,57807.04
2024-01-20,85226.21
2024-01-17,36136.96
2024-01-04,92479.84
2024-01-23,46421.17
2024-01-27,62106.95
2024-01-17,95186.36
2024-01-05,96565.9
2024-01-01,41722.2
2024-01-13,24054.59
2024-01-17,52227.96
2024-01-04,41867.57
2024-01-13,18474.2
2024-01-16,24532.36
2024-01-17,59608.78
2024-01-04,53384.16
2024-01-12,20519.16
2024-01-21,88059.03
2024-01-07,7482.91
2024-01-25,85623.27
2024-01-26,28259.39
2024-01-17,36116.49
2024-01-15,52387.01
2024-01-01,63624.01
2024-01-07,7613.03
2024-01-16,91097.63
2024-01-10,93916.44
2024-01-02,973.33
2024-01-12,26444.35
2024-01-19,37606.74
2024-01-15,62486.3
2024-01-03,67316.46
2024-01-09,93015.88
2024-01-04,97337.69
2024-01-11,99791.42
2024-01-17,96215.31
2024-01-10,68211.04
2024-01-17,18361.92
2024-01-02,84687.82
2024-01-04,97198.35
2024-01-29,60288.85
2024-01-20,18028.63
2024-01-06,68986.41
2024-01-28,61342.45
2024-01-08,87034.59
2024-01-07,92507.39
2024-01-12,49015.72
2024-01-01,64729.3
2024-01-12,64478.44
2024-01-08,23055.36
2024-01-13,53577.95
2024-01-15,64473.79
2024-01-10,80876.23
2024-01-30,95356.77
2024-01-02,79190.72
2024-01-07,26132.16
2024-01-10,35706.29
2024-01-16,29310.88
2024-01-02,61638.77
2024-01-07,91893.77
2024-01-28,43021.35
2024-01-09,1663.22
2024-01-29,39106.56
2024-01-30,55660.87
2024-01-03,56048.54
2024-01-07,50819.37
2024-01-21,60391.47
2024-01-16,55363.04
2024-01-19,45514.88
2024-01-28,20931.67
2024-01-17,97124.95
2024-01-10,83670.87
2024-01-01,37137.92
2024-01-29,20231.52
2024-01-05,39770.99
2024-01-09,53728.91
2024-01-29,97575.93
2024-01-04,3294.48
2024-01-23,5296.43
2024-01-01,5499.59
2024-01-22,16666.37
2024-01-16,54033.14
2024-01-07,36822.19
2024-01-05,51086.9
2024-01-06,71702.4
2024-01-05,35944.2
2024-01-22,67521.95
2024-01-15,30646.92
2024-01-30,38254.83
2024-01-30,13768.21
2024-01-25,23556.48
2024-01-05,12895.03
2024-01-16,65541.33
2024-01-15,61842.88
2024-01-05,18572.04
2024-01-20,51994.6
2024-01-23,39214.77
2024-01-26,77884.37
2024-01-09,84074.11
2024-01-18,39358.21
2024-01-23,34086.99
2024-01-03,32148.72
2024-01-09,84612.34
2024-01-24,10228.51
2024-01-03,3015.91
2024-01-06,90739.81
2024-01-05,64748.88
2024-01-21,66651.25
2024-01-30,72955.97
2024-01-14,23908.57
2024-01-11,82314.1
2024-01-26,47534.65
2024-01-07,7399.85
2024-01-12,19929.9
2024-01-05,3773.24
2024-01-14,3656.55
2024-01-04,50193.2
2024-01-28,35765.58
2024-01-27,89687.37
2024-01-03,79887.97
2024-01-21,80013.65
2024-01-21,21209.85
2024-01-14,75175.87
2024-01-13,99640.3
2024-01-07,21461.99
2024-01-09,11370.02
2024-01-07,10896.57
2024-01-13,4183.98
2024-01-08,81896.67
2024-01-18,47475.48
2024-01-29,76648.02
2024-01-24,3314.17
2024-01-30,57986.11
2024-01-03,92762.57
2024-01-10,54704.65
2024-01-21,35610.61
2024-01-27,80074.63
2024-01-27,59765.19
2024-01-05,2036.34
2024-01-02,93529.43
2024-01-26,30198.85
2024-01-24,75512.31
2024-01-11,74915.9
2024-01-12,61676.16
2024-01-11,78798.2
2024-01-19,71554.6
2024-01-10,28628.03
2024-01-14,15565.53
2024-01-30,8782.13
2024-01-09,92818.99
2024-01-11,56655.35
2024-01-20,4999.77
2024-01-03,29776.42
2024-01-06,51626.68
2024-01-16,16957.19
2024-01-17,18740.9
2024-01-07,44786.54
2024-01-13,751.82
2024-01-06,82249.1
2024-01-03,68671.54
2024-01-06,46477.99
2024-01-24,86184.91
2024-01-02,1664.14
2024-01-27,95079.29
2024-01-12,28582.03
2024-01-09,97614.63
2024-01-18,72452.77
2024-01-21,26796.75
2024-01-13,53066.66
2024-01-17,33871
2024-01-19,96758.29
2024-01-04,89827.69
2024-01-08,40635.15
2024-01-02,17244.23
2024-01-30,87507.12
2024-01-19,82266.83
2024-01-27,8155.71
2024-01-24,35497.23
2024-01-27,98264.63
2024-01-24,59185.79
2024-01-18,41609.21
2024-01-28,19462.44
2024-01-12,98454.03
2024-01-16,49827.76
2024-01-30,94732.52
2024-01-29,93865.21
2024-01-30,69887.43
2024-01-12,31457.07
2024-01-23,87316.17
2024-01-22,15222.3
2024-01-05,84477.35
2024-01-13,91920.24
2024-01-08,86693.68
2024-01-07,13997.3
2024-01-11,4279.54
2024-01-18,14160.43
2024-01-27,77469.05
2024-01-06,27133.56
2024-01-06,93341.66
2024-01-03,69131.7
2024-01-12,71236.9
2024-01-25,29542.13
2024-01-02,31384.07
2024-01-18,62930.86
2024-01-05,49049.85
2024-01-13,3520.78
2024-01-14,13231.02
2024-01-31,6953.49
2024-01-04,25667.66
2024-01-14,75323.65
2024-01-12,24651.39
2024-01-01,44130.09
2024-01-25,78080.83
2024-01-10,39798.42
2024-01-23,85345.56
2024-01-05,27168.12
2024-01-25,53987.83
2024-01-25,34251.93
2024-01-14,62193.5
2024-01-25,9612.31
2024-01-05,46202.64
2024-01-05,67077.08
2024-01-27,24153.74
2024-01-23,31212.57
2024-01-05,80187.6
2024-01-15,34877.9
2024-01-03,19398.67
2024-01-26,6702.22
2024-01-08,22588.12
2024-01-04,41324.37
2024-01-02,37751.77
2024-01-29,12486.66
2024-01-02,1216.22
2024-01-01,14443.7
2024-01-07,73675.23
2024-01-23,92161
2024-01-18,67604.39
2024-01-18,89804.76
2024-01-20,27367.34
2024-01-21,9573.97
2024-01-17,14745.59
2024-01-24,50633.04
2024-01-08,5537.02
2024-01-26,67904.48
2024-01-26,47200.63
2024-01-23,55865.17
2024-01-29,15759.94
2024-01-09,61112.95
2024-01-02,19790.38
2024-01-03,778.69
2024-01-15,92876.4
2024-01-11,87598.31
2024-01-13,65527.38
2024-01-09,87876.89
2024-01-29,70689.39
2024-01-07,65741.56
2024-01-30,70560.81
2024-01-14,65704.51
2024-01-01,1084.48
2024-01-23,91422
2024-01-01,7064.08
2024-01-26,62513.55
2024-01-18,19462.43
2024-01-01,23972.01
2024-01-28,56351.62
2024-01-12,96952.47
2024-01-19,67427.65
2024-01-20,75342.85
2024-01-27,31865.62
2024-01-27,18702.5
2024-01-29,27473.74
2024-01-11,99456.82
2024-01-08,99558.56
2024-01-27,64160.39
2024-01-13,35202.31
2024-01-16,80063.63
2024-01-01,40112.75
2024-01-15,16385.8
2024-01-05,89143.94
2024-01-20,4019.48
2024-01-15,28391.72
2024-01-26,96828.09
2024-01-04,5593.97
2024-01-27,8772.32
2024-01-04,63151.16
2024-01-12,18482.71
2024-01-29,59738.96
2024-01-28,59362.15
2024-01-30,67925.59
2024-01-05,2713.3
2024-01-08,22259.47
2024-01-09,52348.17
2024-01-02,95822.47
2024-01-03,1063.36
2024-01-10,12275.21
2024-01-02,9526.39
2024-01-08,32122.04
2024-01-24,42521.68
2024-01-11,20602.22
2024-01-03,97763.05
2024-01-14,90064.47
2024-01-14,95915.7
2024-01-01,11153.83
2024-01-21,10601.44
2024-01-16,94383.9
2024-01-26,25139.41
2024-01-17,73493.82
2024-01-20,11932.93
2024-01-29,12524.69
2024-01-22,25333.53
2024-01-03,83525.54
2024-01-07,22455.23
2024-01-09,47983.66
2024-01-05,72326.58
2024-01-03,17166.87
2024-01-09,80495.15
2024-01-05,42251.6
2024-01-15,38570.68
2024-01-05,82018.47
2024-01-05,32014.53
2024-01-08,39393.54
2024-01-23,12652.76
2024-01-24,26567.08
2024-01-16,58612.36
2024-01-09,61457.43
2024-01-08,79878.96
2024-01-29,32749.57
2024-01-02,35171.24
2024-01-13,2588.46
2024-01-30,13418.58
2024-01-25,90931.75
2024-01-19,9076.4
2024-01-03,565.67
2024-01-12,55995.35
2024-01-20,31721.98
2024-01-12,98566.93
2024-01-29,67393.08
2024-01-05,27562.38
2024-01-26,56606.18
2024-01-14,59488.48
2024-01-21,93164.56
2024-01-28,46906.3
2024-01-29,71177.78
2024-01-14,70284.86
2024-01-18,15050.85
2024-01-08,82011.86
2024-01-04,83371.54
2024-01-09,99401.75
2024-01-19,26791.64
2024-01-28,66087.16
2024-01-11,44922.03
2024-01-27,28269.13
2024-01-06,84464.72
2024-01-25,67610.63
2024-01-23,41539.53
2024-01-22,76518.2
2024-01-30,83068.22
2024-01-05,37741.96
2024-01-03,54528.07
2024-01-06,21004.75
2024-01-03,22880.8
2024-01-15,98508.45
2024-01-12,11361.39
2024-01-16,28584.56
2024-01-17,34289.55
2024-01-14,52963.14
2024-01-03,82792.62
2024-01-30,70087.3
2024-01-08,27372.13
2024-01-03,27683.44
2024-01-23,35371.43
2024-01-26,34005.85
2024-01-06,90443.2
2024-01-28,88559.49
2024-01-19,55318.13
2024-01-10,60851.28
2024-01-29,35903.61
2024-01-13,64909.32
2024-01-16,59519.32
2024-01-03,31556.08
2024-01-10,40930.4
2024-01-16,22053.76
2024-01-02,41642.46
2024-01-17,72427.38
2024-01-24,43195.8
2024-01-30,3974.3
2024-01-19,86669.63
2024-01-09,17840.85
2024-01-05,40256.46
2024-01-08,4545.18
2024-01-20,5077.48
2024-01-29,25384.7
2024-01-15,16887.4
2024-01-30,40331.9
2024-01-01,43566.99
2024-01-30,90315.7
2024-01-16,39814.65
2024-01-22,58910.32
2024-01-08,93868.29
2024-01-17,73069.23
2024-01-25,80753.73
2024-01-02,64764.91
2024-01-14,7944.58
2024-01-07,87961.69
2024-01-02,3673.77
2024-01-22,56514.23
2024-01-30,7428.78
2024-01-12,31007.42
2024-01-01,56559.07
2024-01-23,8175.48
2024-01-30,84488.1
2024-01-03,7073.16
2024-01-27,30035.88
2024-01-02,12312.92
2024-01-28,10151.35
2024-01-27,47918.36
2024-01-22,15842.74
2024-01-15,45230.51
2024-01-28,18739.9
2024-01-21,23857.98
2024-01-03,34669.22
2024-01-28,10392.75
2024-01-04,54851.45
2024-01-06,37951.84
2024-01-23,32126.64
2024-01-29,56636.57
2024-01-10,6441.58
2024-01-10,91804.75
2024-01-20,14582.09
2024-01-30,40050.82
2024-01-05,4723.65
2024-01-28,71558.54
2024-01-05,42997.3
2024-01-16,58765.24
2024-01-19,74107.54
2024-01-17,67629.98
2024-01-12,35523.13
2024-01-23,56439.24
2024-01-11,42796.67
2024-01-21,41197.37
2024-01-02,26902.58
2024-01-15,93648.17
2024-01-28,63475.63
2024-01-10,76447.38
2024-01-08,21421.96
2024-01-07,69053.79
2024-01-30,64713.77
2024-01-02,18824.15
2024-01-21,19921.45
2024-01-14,78911.35
2024-01-07,32644.12
2024-01-06,25142.88
2024-01-10,39996.07
2024-01-21,66792.82
2024-01-27,9358.69
2024-01-21,75866.04
2024-01-03,87633.31
2024-01-16,95397.53
2024-01-14,8589.37
2024-01-11,46679.15
2024-01-08,87295.22
2024-01-24,7221.51
2024-01-29,66251.66
2024-01-20,22542.17
2024-01-10,32780.01
2024-01-20,79561.94
2024-01-13,2681.56
2024-01-15,29674.79
2024-01-13,60995.11
2024-01-06,70845.67
2024-01-17,44631.42
2024-01-31,92746.25
2024-01-03,64030.63
2024-01-24,42309.11
2024-01-19,34368.57
2024-01-22,7435.11
2024-01-04,92937.49
2024-01-15,32419.63
2024-01-12,59972.23
2024-01-07,12429.01
2024-01-14,48670.62
2024-01-03,68876.97
2024-01-31,35285.64
2024-01-12,5073.86
2024-01-21,62314.82
2024-01-29,71288.61
2024-01-23,77622.33
2024-01-20,30363.39
2024-01-24,17014.22
2024-01-18,12857.09
2024-01-12,51900.18
2024-01-14,97943.51
2024-01-12,5457.66
2024-01-03,2618.85
2024-01-23,82515.85
2024-01-03,8064
2024-01-07,98989.13
2024-01-28,75534.83
2024-01-27,19058.36
2024-01-19,61560.01
2024-01-01,38267.54
2024-01-09,67530.3
2024-01-25,8014.93
2024-01-24,29973.35
2024-01-12,46618.33
2024-01-31,55180.74
2024-01-20,51845.24
2024-01-11,6840.01
2024-01-30,42755.95
2024-01-16,30779.83
2024-01-07,43147.1
2024-01-25,66074.69
2024-01-12,58213.91
2024-01-27,31592.07
2024-01-27,25898.05
2024-01-20,25834.32
2024-01-04,25133.36
2024-01-04,71417.25
2024-01-29,45710.64
2024-01-15,62857.24
2024-01-06,79014.59
2024-01-10,96278.61
2024-01-26,18107.97
2024-01-16,4642.5
2024-01-17,12504.49
2024-01-13,69529.51
2024-01-11,93555.98
2024-01-01,78306.36
2024-01-10,11730.48
2024-01-23,82641.08
2024-01-27,17057.35
2024-01-25,42308.42
2024-01-07,83057.87
2024-01-25,70639.7
2024-01-31,77933.31
2024-01-07,63996.24
2024-01-05,5576.68
2024-01-11,49059.97
2024-01-26,84144.21
2024-01-23,94909.78
2024-01-03,10099.74
2024-01-25,16108.09
2024-01-01,90023.47
2024-01-07,82291.2
2024-01-12,26638.55
2024-01-17,55044.87
2024-01-23,79841.24
2024-01-20,40253.81
2024-01-15,76079.03
2024-01-11,26777.29
2024-01-07,77909.46
2024-01-03,71672.47
2024-01-23,60347.4
2024-01-04,80355.07
2024-01-27,20868.16
2024-01-13,19184.57
2024-01-15,79752.55
2024-01-13,65764.66
2024-01-03,59260.6
2024-01-29,3161.33
2024-01-25,92002.06
2024-01-05,49081.29
2024-01-08,92014.47
2024-01-29,71096.65
2024-01-13,57392.78
2024-01-04,61206.24
2024-01-25,49410.21
2024-01-09,52810.39
2024-01-10,90815.93
2024-01-21,10259.65
2024-01-21,76841.06
2024-01-22,29348.6
2024-01-30,3735.94
2024-01-30,90251.12
2024-01-15,24356.94
2024-01-04,14960.39
2024-01-27,83942.63
2024-01-13,80825.78
2024-01-11,84657.34
2024-01-06,58761.66
2024-01-14,79985.44
2024-01-16,33408.4
2024-01-21,18456.5
2024-01-06,54829.84
2024-01-15,26935.13
2024-01-06,5663.91
2024-01-12,28201.58
2024-01-15,35526.4
2024-01-01,12461.08
2024-01-09,87805.49
2024-01-25,13336.35
2024-01-07,54287.22
2024-01-21,88348.49
2024-01-04,70366.82
2024-01-27,37238.44
2024-01-01,67658.16
2024-01-03,18542.08
2024-01-04,86938.44
2024-01-28,42518.79
2024-01-17,4354.02
2024-01-23,22973.58
2024-01-30,94733.5
2024-01-24,1536.05
2024-01-27,92847.5
2024-01-07,73182.2
2024-01-16,21837.3
2024-01-29,1382.31
2024-01-09,67000.78
2024-01-20,24362.3
2024-01-13,8574.94
2024-01-25,32989.08
2024-01-12,71951.9
2024-01-13,7711.97
2024-01-27,50664.08
2024-01-15,77380.63
2024-01-08,74434.66
2024-01-01,48624.52
2024-01-21,61568.94
2024-01-21,30226.33
2024-01-25,34151.25
2024-01-09,18264.77
2024-01-07,64976.59
2024-01-06,31020.86
2024-01-20,77940.21
2024-01-20,55416.6
2024-01-05,90527.08
2024-01-09,78935.92
2024-01-02,84638.55
2024-01-03,38852.43
2024-01-11,16290.92
2024-01-14,29621.42
2024-01-10,14336.68
2024-01-20,50730.45
2024-01-10,49126.03
2024-01-31,59604.77
2024-01-15,13786.05
2024-01-22,65055.43
2024-01-05,29115.59
2024-01-23,48294.68
2024-01-25,77303.16
2024-01-18,44253.46
2024-01-25,40005.95
2024-01-20,16982.55
2024-01-09,65837.81
2024-01-21,78431.91
2024-01-20,26329.1
2024-01-17,38058.28
2024-01-19,61726.46
2024-01-10,17087.4
2024-01-05,6263.8
2024-01-09,49301.58
2024-01-28,23401.79
2024-01-21,45162.35
2024-01-25,52888.36
2024-01-26,52680.79
2024-01-10,59329.4
2024-01-27,63871.86
2024-01-16,88205.63
2024-01-29,53446.95
2024-01-09,22253.95
2024-01-28,53257.9
2024-01-03,90750.84
2024-01-26,17223.72
2024-01-08,73558.71
2024-01-07,39841.25
2024-01-29,35369.58
2024-01-11,17392.62
2024-01-28,48591.83
2024-01-09,74296.39
2024-01-20,67096.71
2024-01-12,50951.4
2024-01-16,24531.39
2024-01-10,77191.36
2024-01-26,49783.37
2024-01-27,4460.54
2024-01-06,37915.43
2024-01-01,87213.17
2024-01-02,85702
2024-01-17,25376.47
2024-01-07,99331.96
2024-01-15,14761.95
2024-01-17,65663.09
2024-01-09,36799.8
2024-01-14,87987.5
2024-01-04,61534.53
2024-01-02,77492.68
2024-01-28,19372.36
2024-01-18,46858.53
2024-01-04,82189.09
2024-01-05,96791.31
2024-01-31,6458.73
2024-01-04,20932.96
2024-01-29,46141.53
2024-01-23,72465.2
2024-01-24,9023.47
2024-01-10,6929.29
2024-01-07,9756.1
2024-01-02,4832.03
2024-01-10,70511.86
2024-01-26,34889.59
2024-01-16,81867.39
2024-01-13,78794.96
2024-01-30,47941.37
2024-01-15,15974.73
2024-01-13,74024.7
2024-01-22,40656.7
2024-01-11,97234.84
2024-01-20,63743.15
2024-01-10,53575.71
2024-01-24,74927.19
2024-01-13,37709.06
2024-01-31,80577.94
2024-01-15,34842.58
2024-01-02,71179.8
2024-01-11,68944.55
2024-01-21,41591.7
2024-01-27,64837.51
2024-01-09,1395.51
2024-01-21,56984.97
2024-01-19,25312.65
2024-01-04,22322.97
2024-01-20,93021.84
2024-01-13,47016.32
2024-01-06,61393.64
2024-01-04,24030
2024-01-09,83231.74
2024-01-13,22202.13
2024-01-25,71952.95
2024-01-30,43735.91
2024-01-24,67929.96
2024-01-11,3677.57
2024-01-14,69079.77
2024-01-25,74264.58
2024-01-03,34888.68
2024-01-06,23713.8
2024-01-02,60490.09
2024-01-25,25979.41
2024-01-28,55367.72
2024-01-12,86880.48
2024-01-05,1020.69
2024-01-14,11310.14
2024-01-01,88840.14
2024-01-18,39683.88
2024-01-31,56316.94
2024-01-11,73027.43
2024-01-19,26889.38
2024-01-08,29024.99
2024-01-09,83875.37
2024-01-02,67165.49
2024-01-04,20155.98
2024-01-17,67818.7
2024-01-22,40467.21
2024-01-27,51730.08
2024-01-23,999.52
2024-01-06,73711.42
2024-01-20,48793.77
2024-01-06,57029.32
2024-01-10,61326.26
2024-01-29,58079.7
2024-01-05,86353.15
2024-01-26,85536.62
2024-01-28,41536.87
2024-01-10,35534.88
2024-01-11,21196.58
2024-01-07,28111.58
2024-01-09,74143.63
2024-01-12,63535.79
2024-01-24,43141.75
2024-01-02,9267.3
2024-01-07,34734.04
2024-01-13,91327.2
2024-01-29,78766.06
2024-01-26,77362.34
2024-01-25,2179.35
2024-01-08,36321.4
2024-01-11,43289.28
2024-01-24,49155.27
2024-01-01,3848.54
2024-01-08,85374.93
2024-01-05,9348.17
2024-01-30,2823.15
2024-01-17,3813.39
2024-01-30,49625.95
2024-01-25,21736.23
2024-01-05,51520.97
2024-01-01,34633.76
2024-01-06,57278.97
2024-01-14,90704.17
2024-01-30,49638.73
2024-01-25,85511.74
2024-01-26,64145.3
2024-01-18,4618.69
2024-01-04,64132.12
2024-01-30,63935.56
2024-01-18,70079.29
2024-01-03,66840.59
2024-01-30,83354.64
2024-01-19,91612.27
2024-01-11,68797.13
2024-01-24,48682.8
2024-01-29,47918.08
2024-01-25,6611.02
2024-01-29,15523.52
2024-01-04,5056.5
2024-01-15,29806.83
2024-01-07,99470.23
2024-01-07,27865.15
2024-01-19,97318.56
2024-01-09,17543.56
2024-01-01,22203.38
2024-01-18,81966.7
2024-01-08,69548.5
2024-01-24,29865.06
2024-01-03,94845.68
2024-01-29,11602.12
2024-01-16,23910.89
2024-01-30,79796.24
2024-01-17,52781.99
2024-01-21,28197.46
2024-01-14,88960.4
2024-01-16,14747.59
2024-01-05,86718.22
2024-01-10,32105.48
2024-01-04,39388.82
2024-01-08,27596.75
2024-01-17,13194.32
2024-01-22,96714.39
2024-01-13,9477.49
2024-01-05,45335.69
2024-01-08,29288.2
2024-01-30,23321.95
2024-01-24,41558.04
2024-01-08,25280.22
2024-01-13,49874.49
2024-01-06,57681.03
2024-01-16,38034.87
2024-01-28,41232.85
2024-01-28,60635.33
2024-01-24,17105.03
2024-01-09,63128.17
2024-01-06,84451.92
2024-01-09,14124.19
2024-01-23,66058.03
2024-01-21,987.48
2024-01-03,66612.07
2024-01-21,40721.97
2024-01-25,45908.46
2024-01-30,1588.14
2024-01-27,8889.15
2024-01-01,80980.62
2024-01-26,12119.21
2024-01-05,59194.39
2024-01-18,68589.28
2024-01-03,1393.52
2024-01-29,73748.81
2024-01-01,5549.21
2024-01-20,11486.37
2024-01-28,37508.63
2024-01-24,34011.26
2024-01-11,30974.96
2024-01-23,80632.11
2024-01-05,27519.93
2024-01-14,64326.08
2024-01-11,68481.14
2024-01-17,27908.3
2024-01-15,60906.03
2024-01-17,53687.44
2024-01-03,69425.23
2024-01-17,65655.15
2024-01-22,73523.62
2024-01-02,98154.45
2024-01-21,17324.93
2024-01-05,75587.76
2024-01-25,62763.56
2024-01-27,24054.14
2024-01-12,53820.38
2024-01-27,58085.99
2024-01-27,37061.39
2024-01-21,68565.09
2024-01-28,99334.31
2024-01-05,80482.69
2024-01-23,58273.53
2024-01-15,32751.58
2024-01-23,39052.27
2024-01-17,9426.1
2024-01-30,29307.02
2024-01-14,3714.79
2024-01-02,72124.96
2024-01-24,85215.29
2024-01-17,73075.04
2024-01-14,67162.34
2024-01-09,14120.66
2024-01-16,99007.6
2024-01-10,46056.11
2024-01-16,62233.72
2024-01-28,65296.06
2024-01-24,15311.67
2024-01-05,52641.52
2024-01-19,10499.3
2024-01-16,71831.92
2024-01-08,86076.86
2024-01-01,35781.28
2024-01-05,33400.43
2024-01-19,40092.36
2024-01-08,43583.1
2024-01-02,61446.85
2024-01-25,13864.83
2024-01-23,63925.85
2024-01-16,75063.39
2024-01-01,15951.01
2024-01-20,33878.34
2024-01-11,76956.77
2024-01-27,23460.46
2024-01-06,30139.63
2024-01-07,22648.57
